"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"397525","3975","Nicorandil","Tab 10 mg","74001","Vasodilators","740","Vasodilators","7","Cardiovascular System","tab",99.9556200226068
"397526","3975","Nicorandil","Tab 20 mg","74001","Vasodilators","740","Vasodilators","7","Cardiovascular System","tab",99.9650226418319
"372228","3722","Nicotine","Gum 2 mg (Fruit)","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","piece",97.769695373981
"372234","3722","Nicotine","Gum 2 mg (Mint)","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","piece",98.5677237446309
"372229","3722","Nicotine","Gum 4 mg (Fruit)","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","piece",96.1824835771272
"372235","3722","Nicotine","Gum 4 mg (Mint)","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","piece",98.0016898762507
"372237","3722","Nicotine","Lozenge 1 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","loz",98.0265240247963
"372238","3722","Nicotine","Lozenge 2 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","loz",98.1254419434408
"372226","3722","Nicotine","Patch 14 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","patch",96.4057257654306
"372225","3722","Nicotine","Patch 21 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","patch",97.1172756992815
"372227","3722","Nicotine","Patch 7 mg","223401","Treatments for Substance Dependence","2234","Treatments for Substance Dependence","22","Nervous System","patch",94.3915511930081
"186102","1861","Nicotinic acid","Tab 50 mg","73202","Other Lipid-Modifying Agents","732","Lipid-Modifying Agents","7","Cardiovascular System","tab",100
"186104","1861","Nicotinic acid","Tab 500 mg","73202","Other Lipid-Modifying Agents","732","Lipid-Modifying Agents","7","Cardiovascular System","tab",99.9882396385335
"186301","1863","Nifedipine","Tab long-acting 10 mg","72201","Dihydropyridine Calcium Channel Blockers","722","Calcium Channel Blockers","7","Cardiovascular System","tab",99.8871030348029
"186302","1863","Nifedipine","Tab long-acting 20 mg","72201","Dihydropyridine Calcium Channel Blockers","722","Calcium Channel Blockers","7","Cardiovascular System","tab",99.913594378136
"186303","1863","Nifedipine","Tab long-acting 30 mg","72201","Dihydropyridine Calcium Channel Blockers","722","Calcium Channel Blockers","7","Cardiovascular System","tab",99.9856985587988
"186304","1863","Nifedipine","Tab long-acting 60 mg","72201","Dihydropyridine Calcium Channel Blockers","722","Calcium Channel Blockers","7","Cardiovascular System","tab",100
"403825","4038","Nilotinib","Cap 150 mg","250109","Protein-tyrosine Kinase Inhibitors","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"403826","4038","Nilotinib","Cap 200 mg","250109","Protein-tyrosine Kinase Inhibitors","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"410825","4108","Nintedanib","Cap 100 mg","283501","Antifibrotics","2835","Antifibrotics","28","Respiratory System and Allergies","cap",100
"410826","4108","Nintedanib","Cap 150 mg","283501","Antifibrotics","2835","Antifibrotics","28","Respiratory System and Allergies","cap",100
"419725","4197","Niraparib","Cap 100 mg","250107","Other Cytotoxic Agents","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","cap",100
"419726","4197","Niraparib","Tab 100 mg","250107","Other Cytotoxic Agents","2501","Chemotherapeutic Agents","25","Oncology Agents and Immunosuppressants","tab",100
"415626","4156","Nirmatrelvir with ritonavir","Tab 150 mg with ritonavir 100 mg","161917","COVID-19 Treatments","1619","Antivirals","16","Infections - Agents for Systemic Use","tab",91.1538461538461
"415625","4156","Nirmatrelvir with ritonavir","Tab 150 mg with ritonavir 100 mg,","161917","COVID-19 Treatments","1619","Antivirals","16","Infections - Agents for Systemic Use","tab",100
"186725","1867","Nitrofurantoin","Cap modified-release 100 mg","162301","Urinary Tract Infections","1623","Urinary Tract Infections","16","Infections - Agents for Systemic Use","cap",93.1408272378908
