"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Capital & Coast",2021,"21671","6352",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Counties Manukau",2021,"37282","10850",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Hawke's Bay",2021,"14048","4091",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Hutt Valley",2021,"13180","3653",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Lakes",2021,"8369","2488",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","MidCentral",2021,"17148","4799",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Nelson Marlborough",2021,"14338","4071",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Northland",2021,"15965","4632",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","South Canterbury",2021,"6198","1778",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","Southern",2021,"26057","7573",100
